ID_Cliente_ou_Indice_Teste,Score_Risco_Churn,Classe_Predita_Churn,Classe_Real_Churn
714523383,0.08666666666666667,0,0
708911508,0.09,0,0
713025558,0.9266666666666666,1,1
715029333,0.013333333333333334,0,0
717085983,0.023333333333333334,0,0
771400608,0.02,0,0
818294958,0.05,0,0
720076458,0.27,0,0
710475408,0.03,0,0
772640808,0.006666666666666667,0,0
714536208,0.01,0,0
719391783,0.016666666666666666,0,0
805261983,0.05333333333333334,0,0
717776808,0.32666666666666666,0,0
772216833,0.0033333333333333335,0,0
716311683,0.03666666666666667,0,0
714407058,0.03666666666666667,0,0
771471708,0.006666666666666667,0,0
713967783,0.01,0,0
717060858,0.5633333333333334,1,1
714919308,0.79,1,1
712011633,0.016666666666666666,0,0
708753633,0.02,0,0
787532808,0.14666666666666667,0,0
778231983,0.03666666666666667,0,0
717975333,0.25333333333333335,0,0
811721133,0.17,0,0
714321408,0.02666666666666667,0,0
711978858,0.01,0,0
779210283,0.07333333333333333,0,0
812449758,0.9733333333333334,1,1
719474583,0.33666666666666667,0,0
710989008,0.04,0,0
778439883,0.043333333333333335,0,0
720597108,0.4633333333333333,0,1
755953308,0.08666666666666667,0,0
719536608,0.0033333333333333335,0,0
814086333,0.11,0,0
826079508,0.016666666666666666,0,0
719854008,0.11,0,0
717823383,0.013333333333333334,0,0
789903708,0.01,0,0
721145433,0.006666666666666667,0,0
721062408,0.2633333333333333,0,0
720781158,0.06666666666666667,0,0
713580633,0.35,0,0
771886233,0.12666666666666668,0,0
715378383,0.10333333333333333,0,0
803652633,0.0,0,0
804847308,0.08333333333333333,0,0
715007583,0.09,0,0
711648708,0.023333333333333334,0,0
789241308,0.9733333333333334,1,1
717444558,0.0,0,0
713476758,0.0033333333333333335,0,0
788911458,0.04,0,0
708303108,0.0033333333333333335,0,0
709479558,0.023333333333333334,0,0
779342958,0.03666666666666667,0,0
710770383,0.02,0,0
716096358,0.03333333333333333,0,0
780373233,0.0,0,0
744307008,0.03,0,0
716404383,0.75,1,1
778430733,0.1,0,0
713579733,0.02666666666666667,0,0
714581358,0.9966666666666667,1,1
708123033,0.12666666666666668,0,0
720659283,0.23333333333333334,0,0
710268858,0.006666666666666667,0,0
794562783,0.17666666666666667,0,0
708469533,0.0033333333333333335,0,0
715941633,0.03333333333333333,0,0
721233033,0.9366666666666666,1,1
712091433,0.08333333333333333,0,0
718178583,0.0,0,0
808753758,0.006666666666666667,0,0
709230708,0.22,0,0
712515558,0.02,0,0
710507733,0.02,0,0
811571733,0.18,0,0
721171008,0.0033333333333333335,0,0
793379058,0.0,0,0
711008508,0.11,0,0
718957083,0.0033333333333333335,0,0
711388458,0.03666666666666667,0,0
712660308,1.0,1,1
718146258,0.07,0,0
793412958,0.0,0,0
815596608,0.0,0,0
714971583,0.013333333333333334,0,0
748503708,0.23333333333333334,0,0
717195933,0.9866666666666667,1,1
719385558,0.14666666666666667,0,0
721115733,0.0,0,0
714435408,0.17666666666666667,0,0
817144458,0.06333333333333334,0,0
715572783,0.0033333333333333335,0,0
828285858,0.0033333333333333335,0,0
711647808,0.0,0,0
717443658,0.016666666666666666,0,0
717915783,0.27666666666666667,0,1
821150958,0.013333333333333334,0,0
720198183,0.03,0,0
789939558,0.0033333333333333335,0,0
790017858,0.013333333333333334,0,0
718751133,0.11,0,0
714081558,0.06,0,0
718328283,0.0,0,0
718320933,0.05,0,0
780374133,0.06,0,0
779405133,0.01,0,0
778574283,0.3433333333333333,0,0
714602658,0.99,1,1
793636308,0.51,1,0
770647233,0.16,0,0
710289783,0.61,1,1
710872233,0.24,0,0
716513358,0.0,0,0
780497958,0.043333333333333335,0,0
713133258,0.06666666666666667,0,0
717683583,0.08666666666666667,0,0
772706283,0.08,0,0
721181883,0.22,0,0
711838008,0.6333333333333333,1,1
778747608,0.20333333333333334,0,0
716368008,0.5866666666666667,1,1
789540108,0.013333333333333334,0,0
714503433,0.97,1,1
711557508,0.016666666666666666,0,0
721500108,0.47333333333333333,0,0
825811158,0.01,0,0
712643358,0.01,0,0
713782608,0.006666666666666667,0,0
795784008,0.69,1,1
716768808,0.07333333333333333,0,0
711968358,0.0033333333333333335,0,0
711089733,0.48333333333333334,0,0
779548008,0.4666666666666667,0,0
794496033,0.05333333333333334,0,0
709477233,0.0,0,0
781297983,0.02,0,0
711577458,0.0,0,0
710570058,0.9966666666666667,1,1
780237033,0.11333333333333333,0,0
713111883,0.006666666666666667,0,0
719538183,0.10666666666666667,0,0
719420883,0.9933333333333333,1,1
809825358,0.03333333333333333,0,0
712674183,0.23,0,0
714967233,0.87,1,1
716939358,0.36333333333333334,0,0
799486158,0.01,0,0
715222533,0.8866666666666667,1,1
793015083,0.0033333333333333335,0,0
711784908,0.0033333333333333335,0,0
721305408,0.006666666666666667,0,0
720662508,0.07333333333333333,0,0
708553008,0.08666666666666667,0,0
709169133,0.023333333333333334,0,0
709523508,0.056666666666666664,0,0
719449533,0.9333333333333333,1,1
714397983,0.06666666666666667,0,0
715369008,0.056666666666666664,0,0
720827133,0.73,1,1
719519058,0.9866666666666667,1,1
